name,detector,num_features,r_min,r_max,r_mean,r_std
image_2,SIFT,22405,0.013333357870578766,0.0781414583325386,0.02231855517462365,0.008755296109767628
image_12,SIFT,69715,0.013333338312804699,0.07778339833021164,0.02214003137558568,0.008215919551207285
image_24,SIFT,156647,0.013333501294255257,0.0714067742228508,0.023019563991443757,0.008299173373201685
image_23,SIFT,35344,0.013333747163414955,0.08307864516973495,0.02027678245131197,0.007974236511121434
image_20,SIFT,54763,0.013333487324416637,0.08693132549524307,0.02273143794652335,0.009563930486784392
image_14,SIFT,61308,0.01333357859402895,0.07531753927469254,0.02290252686202088,0.008698469462570087
image_4,SIFT,29312,0.013333463110029697,0.08356690406799316,0.02140761947645155,0.008297091168315836
image_16,SIFT,21081,0.013333442620933056,0.0892077386379242,0.019513813177977457,0.007099878632634604
image_3,SIFT,36070,0.013333436101675034,0.08046767115592957,0.022811554297717043,0.009133155394127757
image_15,SIFT,32750,0.013333912938833237,0.08544418215751648,0.021315403405377884,0.007675068199685918
image_21,SIFT,62240,0.013333473354578018,0.08301088958978653,0.020831919854487697,0.007478834521115067
image_7,SIFT,21834,0.013333397917449474,0.08658367395401001,0.02219381563033947,0.008981560304817544
image_25,SIFT,80111,0.013333522714674473,0.10214117169380188,0.02207136760992885,0.007959456651975746
image_18,SIFT,14877,0.013333342969417572,0.07360726594924927,0.020351569413980537,0.007182892993600949
image_17,SIFT,38247,0.013333647511899471,0.07625233381986618,0.02097436930367419,0.007663167427362594
image_9,SIFT,71982,0.013333420269191265,0.07948324084281921,0.022305193436054263,0.008137838314850035
image_22,SIFT,48374,0.013333389535546303,0.08567225933074951,0.021906251806482244,0.008939542928524434
image_8,SIFT,46108,0.013333365321159363,0.08591943979263306,0.021220211509391056,0.008110126131207667
image_11,SIFT,22163,0.013334316201508045,0.08148960024118423,0.020892008890839954,0.007151849467299477
image_19,SIFT,27152,0.013333523645997047,0.07573562860488892,0.02071956411106556,0.007952620087810967
image_13,SIFT,66445,0.013333376497030258,0.06611543893814087,0.020182969308175768,0.006633600320857973
image_5,SIFT,49229,0.01333343330770731,0.062271784991025925,0.020624900874987015,0.006800729366540403
image_1,SIFT,62184,0.013333356007933617,0.07865455746650696,0.022182206483192385,0.008679029311874406
image_10,SIFT,55114,0.013333480805158615,0.08030581474304199,0.021341390182024297,0.007532901414877271
image_6,SIFT,29709,0.013333391398191452,0.08495653420686722,0.020393146431060567,0.007552915387194022
all,SIFT,1215164,0.013333338312804699,0.10214117169380188,0.021738874726917917,0.008155213066941716
image_2,BRISK,22066,8.0,136.98394775390625,44.09696097453053,13.874542026861333
image_12,BRISK,63548,8.55555534362793,142.91111755371094,44.79812113508041,14.046431042121746
image_24,BRISK,151492,8.55555534362793,127.98844909667969,45.08711552531801,13.291651860665036
image_23,BRISK,22808,11.11111068725586,137.6857147216797,44.347567220271074,14.748772058382038
image_20,BRISK,57127,5.0,168.4088897705078,46.31027966539611,16.933655450050235
image_14,BRISK,60384,7.777777671813965,143.4081573486328,46.08738044888239,14.870224594644151
image_4,BRISK,27089,7.44444465637207,152.7113037109375,43.51168076398563,13.886103645205985
image_16,BRISK,16092,13.333333015441895,185.31390380859375,41.10325389070769,12.759758822680016
image_3,BRISK,36322,11.777777671813965,158.51318359375,46.415927088357144,15.710084203736539
image_15,BRISK,28363,7.777777671813965,157.0946502685547,44.353206171789544,13.802237964399891
image_21,BRISK,49766,3.555555582046509,147.92852783203125,42.8601281974772,13.085213080905755
image_7,BRISK,23246,8.666666984558105,144.5519561767578,44.50930473364067,14.609722015002395
image_25,BRISK,71712,6.222222328186035,169.7390594482422,43.9479761906151,13.419526123261123
image_18,BRISK,12075,7.44444465637207,122.54802703857422,42.41874768282809,12.151746384586538
image_17,BRISK,35111,14.11111068725586,141.15585327148438,42.88953690307366,12.841090705274473
image_9,BRISK,65859,6.55555534362793,142.06234741210938,44.54858446045193,13.372674912629705
image_22,BRISK,42584,11.44444465637207,159.8640899658203,45.28862400548073,15.762008597254072
image_8,BRISK,38726,7.111111164093018,162.5,43.77928242516938,14.350839417172372
image_11,BRISK,15702,11.44444465637207,151.7439422607422,41.96290024859543,12.126725361104915
image_19,BRISK,23604,12.55555534362793,146.5215301513672,43.77805720485079,14.253421588795833
image_13,BRISK,49507,7.111111164093018,127.25531005859375,42.27823579577929,11.851788771138242
image_5,BRISK,39707,8.88888931274414,126.32625579833984,41.88503420530968,11.445700472662569
image_1,BRISK,62805,11.88888931274414,138.7242889404297,44.847828357320864,14.396583466544381
image_10,BRISK,47364,6.55555534362793,151.7164764404297,43.22517663825858,12.857685901284952
image_6,BRISK,24823,8.55555534362793,148.30870056152344,43.08690692444579,13.39313675946667
all,BRISK,1087882,3.555555582046509,185.31390380859375,44.26162816085139,13.930487446614856
image_2,ORB,115577,-6.418269185815006e-05,0.0010116297053173184,2.5629690760618198e-05,4.108388837073394e-05
image_12,ORB,284944,-0.00012751850590575486,0.0010383641347289085,3.451176854847827e-05,4.813250175412892e-05
image_24,ORB,641311,-0.00010904114606091753,0.0008931878837756813,3.94796893714034e-05,4.6408275989817934e-05
image_23,ORB,125885,-0.00021316581114660949,0.0012290541781112552,2.3595450896987845e-05,4.40042125622941e-05
image_20,ORB,270483,-0.0004244149604346603,0.002384228864684701,3.9157300072573375e-05,7.867490372824828e-05
image_14,ORB,258293,-0.00012504044570960104,0.0010551343439146876,3.9329025520171814e-05,5.254481020868502e-05
image_4,ORB,150710,-8.277887536678463e-05,0.002262453082948923,2.2824209096277538e-05,4.4043032307189996e-05
image_16,ORB,113451,-4.4530926970764995e-05,0.0024441746063530445,1.4234322335621602e-05,4.039522728615618e-05
image_3,ORB,165420,-0.0002128456108039245,0.0014386422699317336,3.591765138224157e-05,6.092953911475768e-05
image_15,ORB,132051,-0.00013821019092574716,0.0016541534569114447,2.6244256574864607e-05,4.570463572336067e-05
image_21,ORB,264159,-0.00012811234046239406,0.002145100850611925,2.3449386244456224e-05,3.9185274301769e-05
image_7,ORB,126037,-0.0001585029240231961,0.0014568197075277567,2.0023286758208417e-05,3.961901634456756e-05
image_25,ORB,324686,-9.532002150081098e-05,0.0020640918519347906,3.4286668331333957e-05,4.904611584157679e-05
image_18,ORB,62872,-7.658911636099219e-05,0.0009126219083555043,1.4840767598478915e-05,2.861273648124284e-05
image_17,ORB,184739,-6.793911597924307e-05,0.0013743407325819135,1.9115952208614044e-05,3.217490764584905e-05
image_9,ORB,294963,-4.291442746762186e-05,0.0010565983830019832,3.3043829073409394e-05,4.298022894238372e-05
image_22,ORB,212967,-0.00017863584798760712,0.0021083522588014603,3.185947168736711e-05,6.187869687689176e-05
image_8,ORB,195389,-0.00013476518506649882,0.0019718760158866644,2.6609757746120213e-05,5.1201729894630155e-05
image_11,ORB,74106,-4.629815884982236e-05,0.001441190019249916,1.9974818484060217e-05,3.164596948517743e-05
image_19,ORB,129637,-0.00024908376508392394,0.001226086518727243,2.0192455700669995e-05,4.1373874512317926e-05
image_13,ORB,243207,-9.299463999923319e-05,0.0007728943601250648,1.8498265450194826e-05,2.735531012397976e-05
image_5,ORB,207256,-5.153274105396122e-05,0.0008302367641590536,2.122591067873291e-05,2.9789978079647834e-05
image_1,ORB,293057,-8.799521310720593e-05,0.0018163936911150813,2.6882182083650713e-05,4.4440512986218664e-05
image_10,ORB,218911,-4.8664929636288434e-05,0.001159182982519269,2.8378689090486778e-05,4.015052246030634e-05
image_6,ORB,130974,-0.00019723114382941276,0.0016327941557392478,1.844501786789154e-05,4.09017629338846e-05
all,ORB,5221085,-0.0004244149604346603,0.0024441746063530445,2.9083043189552913e-05,4.7668139807771166e-05
image_2,AKAZE,24726,0.0010000003967434168,0.03700631856918335,0.002937961566466811,0.0024986475337646706
image_12,AKAZE,58915,0.001000022515654564,0.029013702645897865,0.002659875602254077,0.002050431880709214
image_24,AKAZE,98602,0.0010000010952353477,0.023564554750919342,0.0026433175623736,0.0018274075238940025
image_23,AKAZE,30154,0.0010000292677432299,0.03787817060947418,0.0026530178435993507,0.0024809079699214145
image_20,AKAZE,38974,0.0010000166948884726,0.03428246080875397,0.0029643018053972987,0.002700060034770145
image_14,AKAZE,56706,0.00100000633392483,0.03331229090690613,0.002855478382237413,0.002283725689268592
image_4,AKAZE,23962,0.0010000611655414104,0.03557055816054344,0.0026701147980580627,0.0022791982244675757
image_16,AKAZE,12056,0.0010000155307352543,0.03451778367161751,0.002215502649705113,0.001991397218361076
image_3,AKAZE,26157,0.0010000112233683467,0.024996604770421982,0.0028999536172840935,0.0022988012316366006
image_15,AKAZE,30352,0.0010000310139730573,0.04145495966076851,0.0024885753062207894,0.0019532585450977714
image_21,AKAZE,44789,0.0010000232141464949,0.031523849815130234,0.0024514261765597087,0.0018683223269178812
image_7,AKAZE,18769,0.0010000276379287243,0.0413544587790966,0.0027558940351655923,0.0023895815790232634
image_25,AKAZE,56159,0.0010000093607231975,0.05593122914433479,0.002583545074723391,0.0020363133158808663
image_18,AKAZE,11002,0.0010001328773796558,0.02301773801445961,0.002411825118797708,0.0019034489164424203
image_17,AKAZE,24768,0.0010000379988923669,0.02144661173224449,0.0024268793901004054,0.001810969394538173
image_9,AKAZE,64300,0.0010000149486586452,0.03905295208096504,0.0026754148961294698,0.0020509584195850133
image_22,AKAZE,35648,0.001000012969598174,0.038230687379837036,0.0028437371047157923,0.002609136713740021
image_8,AKAZE,34086,0.001000029849819839,0.028505999594926834,0.0025563561974368404,0.002137823870498194
image_11,AKAZE,28980,0.0010000183247029781,0.030162187293171883,0.0023056509529166195,0.0016766109184330816
image_19,AKAZE,17820,0.0010000327602028847,0.02621399611234665,0.0026333564678003214,0.0023138239715999017
image_13,AKAZE,43346,0.0010000239126384258,0.01854216493666172,0.002182897052075589,0.0014755045659383408
image_5,AKAZE,37687,0.0010000010952353477,0.02136204205453396,0.002351280306618891,0.001585327672168167
image_1,AKAZE,33927,0.0010000152979046106,0.023244468495249748,0.0026210620579339328,0.0020570625030896738
image_10,AKAZE,45372,0.001000014366582036,0.03325803205370903,0.0025559052502853695,0.0019721127083500295
image_6,AKAZE,20380,0.0010000026086345315,0.03963630646467209,0.002549802880483781,0.0022142752428142443
all,AKAZE,917637,0.0010000003967434168,0.05593122914433479,0.002612302505017945,0.002095589960588044
